row,file,date,imageNo,image,multipleEmbNotes,strain,spn4,condition,transcript,cell_stage,total_no_RNA,No_RNA_clusters,No_RNA_in_clusters,fraction_RNA_in_clusters,avg_no_RNA_per_cluster
113,C04.csv,211105,Image_12,211105_Image_12,NA,N2,spn4_wt,N2,C04B4.2,12-15-cell,380,12,120,0.315789474,10
114,C04.csv,211105,Image_13,211105_Image_13,NA,N2,spn4_wt,N2,C04B4.2,12-15-cell,335,5,32,0.095522388,6.4
115,C04.csv,211105,Image_16,211105_Image_16,NA,N2,spn4_wt,N2,C04B4.2,12-15-cell,1101,16,138,0.125340599,8.625
116,C04.csv,211102,Image_01,211102_Image_01,NA,N2,spn4_wt,N2,C04B4.2,16-28-cell,217,6,71,0.32718894,11.83333333
117,C04.csv,211102,Image_06,211102_Image_06,NA,N2,spn4_wt,N2,C04B4.2,16-28-cell,262,4,38,0.145038168,9.5
118,C04.csv,211102,Image_07,211102_Image_07_bottom,bottom,N2,spn4_wt,N2,C04B4.2,16-28-cell,280,2,72,0.257142857,36
119,C04.csv,211102,Image_07,211102_Image_07_top,top,N2,spn4_wt,N2,C04B4.2,16-28-cell,173,2,20,0.115606936,10
120,C04.csv,211105,Image_02,211105_Image_02,NA,N2,spn4_wt,N2,C04B4.2,16-28-cell,224,3,44,0.196428571,14.66666667
121,C04.csv,211105,Image_09,211105_Image_09,NA,N2,spn4_wt,N2,C04B4.2,16-28-cell,190,2,20,0.105263158,10
122,C04.csv,211105,Image_15,211105_Image_15,NA,N2,spn4_wt,N2,C04B4.2,16-28-cell,301,6,66,0.219269103,11
123,C04.csv,211105,Image_18,211105_Image_18,NA,N2,spn4_wt,N2,C04B4.2,16-28-cell,165,5,49,0.296969697,9.8
124,car-1.csv,211109,Image_03,211109_Image_03,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,car-1,2-cell,23981,960,11268,0.469871982,11.7375
125,car-1.csv,211109,Image_10,211109_Image_10,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,car-1,2-cell,19954,806,9097,0.455898567,11.2866005
126,car-1.csv,211109,Image_15,211109_Image_15,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,car-1,2-cell,22592,779,12890,0.570555949,16.54685494
127,car-1.csv,211109,Image_18,211109_Image_18,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,car-1,2-cell,18265,715,8817,0.482726526,12.33146853
128,car-1.csv,211109,Image_23,211109_Image_23,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,car-1,2-cell,22290,895,10928,0.490264693,12.21005587
129,car-1.csv,211109,Image_34,211109_Image_34,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,car-1,2-cell,17420,647,8352,0.479448909,12.90880989
130,car-1.csv,211113,Image_05,211113_Image_05,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,car-1,2-cell,19480,714,10844,0.556673511,15.18767507
131,car-1.csv,211113,Image_13,211113_Image_13,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,car-1,2-cell,24530,741,14909,0.607786384,20.12010796
132,car-1.csv,211109,Image_05,211109_Image_05,NA,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,car-1,2-cell,23374,877,11081,0.474073757,12.63511973
133,car-1.csv,211109,Image_09,211109_Image_09,NA,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,car-1,2-cell,17395,715,8186,0.470594999,11.44895105
134,car-1.csv,211109,Image_19,211109_Image_19,NA,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,car-1,2-cell,20541,767,11027,0.536828781,14.3767927
135,car-1.csv,211109,Image_23,211109_Image_23,NA,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,car-1,2-cell,24042,830,12425,0.516803926,14.96987952
136,car-1.csv,211113,Image_09,211113_Image_09,NA,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,car-1,2-cell,19951,572,12982,0.650694201,22.6958042
137,car-1.csv,211113,Image_22,211113_Image_22_bottom,bottom,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,car-1,2-cell,14547,407,9474,0.651268303,23.27764128
138,car-1.csv,211113,Image_22,211113_Image_22_top,top,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,car-1,2-cell,23380,848,13986,0.598203593,16.49292453
139,car-1.csv,211113,Image_23,211113_Image_23,NA,DG5256_wDMP91,spn4_minus,Balancer_no_GFP,car-1,2-cell,19844,790,11231,0.565964523,14.2164557
140,car-1.csv,211109,Image_06,211109_Image_06,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,car-1,4-cell,16628,590,8072,0.485446235,13.68135593
141,car-1.csv,211109,Image_17,211109_Image_17,NA,DG5256_wDMP91,spn4_plus,Balancer_GFP,car-1,4-cell,17020,538,8687,0.51039953,16.14684015
