AB	ABa	ABal	ABalx	ABar	ABarx	ABp	ABpl	ABplx	ABpr	ABprx	C	Cx1	Cx2	D	E	EMS	Ea	Ep	MS	MSx1	MSx2	P0	P1	P2	P3	P4
B0261.9	0.928	0.692	0	0	1.344	0.249166666666667	6.774	0	20.0718181818182	0	3.69833333333333	0	0	1.23333333333333	0	0	0	0	1.63333333333333	0	0	0	0	0	0	0	0
B0272.3	139.61	229.592	174.734	244.745	275.052	260.946666666667	243.35	283.59	190.060909090909	306.004	326.74	165.214	273.59	184.958333333333	15.32	344.116	172.128	46.11	106.683333333333	186.484	149.788	246.347142857143	160.126	160.838	195.984	369.204	189.878333333333
B0273.1	0	0	0	0	0.562	2.42166666666667	0	0.288	0.0536363636363636	0	0	0.136	4.934	1.935	0	0	0	0	5.19166666666667	0	0	0.485714285714286	0	0	0	0	0
B0273.3	5.33	1.296	1.856	4.082	16.266	5.725	6.094	3.542	1.97727272727273	3.758	0.0783333333333333	0.318	0.06	0.71	0.316666666666667	0.162	5.522	0	0.923333333333333	0.416	0	0	8.06	5.892	4.78	0.102	7.175
B0280.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.8433333333333	0	0	0	0	0.152	0	0	0	0	0	0	0
B0280.9	125.83	107.45	92.12	76.408	59.336	51.065	126.218	115.028	23.29	151.902	56.0625	87.466	105.544	54.21	43.9433333333333	155.278	181.366	31.0375	64.8433333333333	77.06	80.758	317.628571428571	184.902	144.562	90.372	160.808	183.218333333333
B0281.4	0	0	28.184	7.62	0.41	53.695	0	75.814	10.0418181818182	0.13	0	0	0	0.363333333333333	0	0.93	0	35.1375	0	0.414	0	0	0	0	0	0	0
B0281.5	104.828	144.298	360.646	1226.828	532.526	1206.99	88.3	480.204	1479.40818181818	439.466	1443.69166666667	322.778	1182.438	665.423333333333	23.365	781.808	273.454	1012.1125	1795.91666666667	409.512	1200.05	769.111428571429	102.484	48.656	152	32.31	20.0416666666667
B0281.6	0	0	0.86	22.392	0.16	35.895	0	23.25	20.7454545454545	2.692	18.3816666666667	0	0	38.4233333333333	0	0.21	2.112	0.315	0	0	7.342	8.71	0	0	0	0	0
B0285.11	0	0	3.602	0	0.276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B0285.12	0.778	0	1.076	2.066	3.61	7.80083333333333	0	2.262	3.73	0	2.16833333333333	1.358	0	4.54333333333333	0	0	3.494	0	6.52666666666667	0.634	0	2.52571428571429	0.182	0	0.29	0.498	0
B0285.3	63.116	83.994	83.776	89.787	73.914	72.6758333333333	59.972	106.366	132.005454545455	153.74	59.62	51.366	110.552	102.956666666667	131.045	36.7	69.132	4.225	5.11666666666667	137.194	60.994	51.9628571428571	84.03	69.314	81.874	38.746	33.5616666666667
B0285.4	142.126	176.942	236.6	35.309	179.844	25.8541666666667	235.828	269.392	5.31636363636364	271.434	21.7483333333333	120.572	3.31	43.1133333333333	47.6433333333333	175.79	170.366	25.67	23.04	226.374	1.014	7.23857142857143	208.808	97.592	136.078	155.438	39.3416666666667
B0286.1	0	0	0	0	0	0	0	0	0	0	1.77666666666667	0	0	0	0	0	0	0	50.54	0	0	0	0.67	0	0	0	0
B0286.3	3.352	0	2.094	19.607	0	0.111666666666667	0	0	0.150909090909091	9.1	0	0	0	0	0	0	0.464	0	0	0	2.052	0	3.954	0.566	0	0	0
B0294.1	0	0	0	0	0.154	0	0	0	0	0	13.0275	0	0	0	0	0	0	0	0	16.012	0	0	0	0	0	0	0
B0294.3	0	4.984	1.522	7.606	0	5.0575	0	0	15.0245454545455	0	12.7991666666667	0	0	68.645	0	0	6.108	0	0	0	0	0	0	0	0	0	0
B0302.2	0	0	0	0	0	16.5775	0	0	0	0	0.144166666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.664	0
B0302.7	0	0	0	0	0	1.56583333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B0303.11	0	0	3.314	0.139	0	0	0	0.02	0	0	0.03	0	0	0	0	0	0	0	0	3.942	0	0	0	0	0	0	0.0383333333333333
B0303.14	5.884	17.858	238.706	212.596	130.934	285.045	3.598	162.998	228.86	224.954	397.680833333333	102.118	308.212	349.576666666667	1.03166666666667	247.226	33.744	28.3875	35.4283333333333	161.52	59.68	127.518571428571	20.658	0.274	2.646	0.45	10.8383333333333
B0303.15	98.832	82.186	82.384	20.15	41.14	64.1191666666667	80.154	50.07	77.3945454545455	136.208	29.0508333333333	100.2	31.518	57.4016666666667	109.785	120.876	86.82	110.95	0.715	40.974	191.558	46.9771428571429	154.176	125.452	135.34	102.76	244.295
B0303.2	0.536	0.914	0.736	0.503	2.23	0.885833333333333	0.428	0.528	15.3109090909091	1.044	0.284166666666667	1.582	4.342	4.55833333333333	1.02666666666667	0.318	7.736	1.9225	1.72	0.526	1.05	33.7528571428571	1.788	1.386	0.754	0.266	0.303333333333333
B0303.3	139.656	215.94	141.208	218.529	86.094	165.835	200.032	179.836	132.979090909091	208.618	124.7225	166.624	170.886	70.0866666666667	61.6633333333333	139.126	201.788	12.6375	48.15	108.272	172.654	113.138571428571	90.434	96.902	130.664	25.102	116.033333333333
B0303.4	181.254	200.822	159.796	2.902	181.952	26.4958333333333	166.586	221.058	28.6845454545455	65.01	9.1875	129.74	89.956	19.7966666666667	60.0833333333333	77.11	186.428	4.2875	1.44666666666667	29.41	120.812	2.78142857142857	154.376	141.454	163.092	80.528	140.49
B0303.7	67.414	82.768	121.452	0.756	77.18	28.9533333333333	47.592	79.192	5.07727272727273	50.476	73.1458333333333	63.906	3.962	0.848333333333333	190.718333333333	69.15	65.178	117.7025	45.0683333333333	76.034	21.01	14.0471428571429	49.976	63.14	119.954	17.968	168.785
