"SYMBOL","ENTREZID"
"B0024.11","179436"
"W05H7.1","180482"
"cpf-2","176742"
"T28C6.8","177696"
"dgn-1","181283"
"pola-1","176544"
"H40L08.1","181603"
"Y41D4B.11","3565515"
"rbg-2","172574"
"fubl-3","181773"
"tmem-208","172649"
"T04B8.5","173453"
"D2030.11","266841"
"sin-3","172628"
"ebp-1","3565059"
"gln-3","178452"
"coh-1","181003"
"unc-76","180014"
"die-1","174569"
"mrpl-18","183940"
"C13F10.7","179111"
"chaf-1","172730"
"rnp-2","177181"
"mnat-1","173602"
"larp-5","171942"
"fitm-2","3565961"
"dao-2","173793"
"rars-1","175659"
"F57C2.5","175112"
"zyg-9","174350"
"mdt-29","176817"
"cst-1","180708"
"nfi-1","174225"
"Y105E8A.20","173312"
"ZC434.4","172902"
"F33E2.5","173129"
"cya-1","176287"
"ttb-1","178544"
"lsy-12","3565873"
"gpdh-3","172509"
"lin-25","179732"
"asp-6","179209"
"ntl-4","177580"
"lat-1","174419"
"T19H5.4","174503"
"F32D8.5","179509"
"cnt-2","176490"
"rpa-1","174238"
"ten-1","175953"
"tbc-9","178316"
"pqbp-1.1","176847"
"pqn-27","3564944"
"swsn-6","177325"
"nrde-3","180392"
"pus-1","180123"
"bir-1","179597"
"dis-3","177875"
"ccf-1","176625"
"trr-1","174788"
"eat-16","172823"
"unc-97","180827"
"T05H10.4","174293"
"K05C4.5","173339"
"C43E11.9","172028"
"F57A8.1","179399"
"K04F10.7","172335"
"C29F7.2","181463"
"F09E5.8","173906"
"mbk-1","181578"
"mrp-4","181202"
"Y39B6A.3","180262"
"eif-3.L","24104220"
"lyst-1","181379"
"zen-4","177374"
"cest-2.1","179916"
"ugt-50","181413"
"ttr-46","179384"
"mel-26","172737"
"unc-34","190098"
"T23F2.5","180823"
"ntl-3","176614"
"C34E10.10","175715"
"mrpl-49","187809"
"ubc-14","173228"
"F25H2.4","172938"
"Y94H6A.3","177052"
"F23A7.4","184879"
"swan-2","179875"
"ubxn-4","176187"
"szy-2","175738"
"C01G6.3","174469"
"ldh-1","174798"
"F55F8.3","172224"
"swan-1","179876"
"rfc-1","179967"
"luc-7L","174246"
"scp-1","174479"
"nhr-47","178933"
"stam-1","172264"
"Y57G11C.3","178398"
"rap-1","177709"
"Y46E12BL.2","266878"
