transcript	cell_stage	.y.	group1	group2	n1	n2	statistic	df	p	p.adj	p.adj.signif
Y19D2B.2	8-11-cell	total_no_RNA	spn4_plus	spn4_minus	7	8	3.76250755596318	6.48166406522318	0.008	0.0207272727272727	*
Y19D2B.2	8-11-cell	total_no_RNA	spn4_plus	spn4_wt	7	8	0.68190371628871	12.4019114778437	0.508	0.601929460580913	ns
Y19D2B.2	8-11-cell	total_no_RNA	spn4_minus	spn4_wt	8	8	-1.96011323883934	7.30473851739759	0.089	0.15188622754491	ns
Y19D2B.2	12-15-cell	total_no_RNA	spn4_plus	spn4_minus	8	8	4.04014467723637	8.5750693139643	0.003	0.00872448979591837	**
Y19D2B.2	12-15-cell	total_no_RNA	spn4_plus	spn4_wt	8	8	0.191923278652445	13.3748445609845	0.851	0.894816176470588	ns
Y19D2B.2	12-15-cell	total_no_RNA	spn4_minus	spn4_wt	8	8	-4.61375341672893	9.40064616906586	0.001	0.00327586206896552	**
Y19D2B.2	16-28-cell	total_no_RNA	spn4_plus	spn4_minus	8	8	4.74004215056761	13.5005100408996	0.000349	0.00180845454545455	**
Y19D2B.2	16-28-cell	total_no_RNA	spn4_plus	spn4_wt	8	8	0.947281322222263	13.7043372808604	0.36	0.460089686098655	ns
Y19D2B.2	16-28-cell	total_no_RNA	spn4_minus	spn4_wt	8	8	-3.29747272023221	12.6258023500275	0.006	0.0158333333333333	*
Y37H2A.12	2-cell	total_no_RNA	spn4_plus	spn4_minus	8	9	-3.05363004502077	13.843031985435	0.009	0.0229017857142857	*
Y37H2A.12	2-cell	total_no_RNA	spn4_plus	spn4_wt	8	7	0.657206586522654	10.5847086462225	0.525	0.615740740740741	ns
Y37H2A.12	2-cell	total_no_RNA	spn4_minus	spn4_wt	9	7	2.96454961918549	9.21279468763986	0.016	0.0367741935483871	*
Y37H2A.12	4-cell	total_no_RNA	spn4_plus	spn4_minus	8	8	0.0723546032011815	12.2351137374838	0.943	0.957074468085106	ns
Y37H2A.12	4-cell	total_no_RNA	spn4_plus	spn4_wt	8	11	4.47187347339499	12.1171477865773	0.000745	0.00316433823529412	**
Y37H2A.12	4-cell	total_no_RNA	spn4_minus	spn4_wt	8	11	3.17494134508958	9.40884347718434	0.011	0.0267948717948718	*
Y37H2A.12	8-11-cell	total_no_RNA	spn4_plus	spn4_minus	9	8	-0.858371301274019	9.50131436816482	0.412	0.51726872246696	ns
Y37H2A.12	8-11-cell	total_no_RNA	spn4_plus	spn4_wt	9	7	4.19819859406986	13.2016081287116	0.001	0.00327586206896552	**
Y37H2A.12	8-11-cell	total_no_RNA	spn4_minus	spn4_wt	8	7	2.96596350761716	8.11068939723665	0.018	0.0403937007874016	*
Y37H2A.12	12-15-cell	total_no_RNA	spn4_plus	spn4_minus	9	8	-4.25528880250869	11.0344784312043	0.001	0.00327586206896552	**
Y37H2A.12	12-15-cell	total_no_RNA	spn4_plus	spn4_wt	9	8	2.9562524856135	11.2412998888919	0.013	0.030875	*
Y37H2A.12	12-15-cell	total_no_RNA	spn4_minus	spn4_wt	8	8	6.45584581047021	7.92458321920151	0.000205	0.00112355769230769	**
Y37H2A.12	16-28-cell	total_no_RNA	spn4_plus	spn4_minus	8	8	-2.3047047852152	7.42436189001449	0.052	0.0975	ns
Y37H2A.12	16-28-cell	total_no_RNA	spn4_plus	spn4_wt	8	7	1.3038710635888	12.7915118876574	0.215	0.2945	ns
Y37H2A.12	16-28-cell	total_no_RNA	spn4_minus	spn4_wt	8	7	2.62531018342579	7.46787939177399	0.032	0.0646808510638298	ns
ZK666.4	2-cell	total_no_RNA	spn4_plus	spn4_minus	8	9	-0.785156232028933	14.8529545769335	0.445	0.54431330472103	ns
ZK666.4	2-cell	total_no_RNA	spn4_plus	spn4_wt	8	7	1.18766575383724	12.5845187663396	0.257	0.34387323943662	ns
ZK666.4	2-cell	total_no_RNA	spn4_minus	spn4_wt	9	7	2.09638259675155	13.8986178796579	0.055	0.101785714285714	ns
ZK666.4	4-cell	total_no_RNA	spn4_plus	spn4_minus	8	8	1.44251684990837	11.395036557211	0.176	0.253333333333333	ns
ZK666.4	4-cell	total_no_RNA	spn4_plus	spn4_wt	8	11	1.6704352054743	13.794945085127	0.117	0.188389830508475	ns
ZK666.4	4-cell	total_no_RNA	spn4_minus	spn4_wt	8	11	0.418392815686031	16.9802023532396	0.681	0.761117647058824	ns
ZK666.4	8-11-cell	total_no_RNA	spn4_plus	spn4_minus	9	8	7.55373977709362	8.79037394488637	3.97e-05	0.000257147727272727	***
ZK666.4	8-11-cell	total_no_RNA	spn4_plus	spn4_wt	9	7	2.7363905041555	12.5017431968066	0.018	0.0403937007874016	*
ZK666.4	8-11-cell	total_no_RNA	spn4_minus	spn4_wt	8	7	-2.74243177040402	6.3984673559663	0.032	0.0646808510638298	ns
ZK666.4	12-15-cell	total_no_RNA	spn4_plus	spn4_minus	9	8	4.06495672106457	14.7224458428994	0.001	0.00327586206896552	**
